year,cap
2020,99.9
2021,99.9
2022,99.9
2023,99.9
2024,99.9
2025,99.9
2026,99.5004
2027,99.1008
2028,98.7012
2029,98.3016
2030,97.902
2031,93.906
2032,92.9625
2033,92.019
2034,91.0755
2035,90.13199999
2036,89.18850001
2037,88.245
2038,87.3015
2039,86.358
2040,85.4145
2041,82.1178
2042,78.8211
2043,75.5244
2044,72.2277
2045,68.931
2046,62.7372
2047,56.5434
2048,50.3496
2049,44.1558
2050,37.962
