year,cap
2020,99.9
2021,99.9
2022,99.9
2023,99.9
2024,99.9
2025,99.9
2026,99.9
2027,99.9
2028,99.9
2029,99.9
2030,95.85
2031,94.5
2032,87.75
2033,82.35
2034,81
2035,79.92
2036,78.3
2037,74.25
2038,70.2
2039,67.5
2040,64.8
2041,62.1
2042,56.7
2043,55.35
2044,54
2045,49.95
2046,48.6
2047,47.25
2048,44.55
2049,43.2
2050,40.5
